,symbol,expiration,strike,opt_type,volm_bs,volatility,delta,price,daysToExpiration
0,.MSTR241115C23,2024-11-15,23.0,call,0.0,8.91869184254257,0.9999999693997036,252.4,1
1,.MSTR241115P23,2024-11-15,23.0,put,1.0,18.958788595334635,-0.001461235191436372,0.01,1
2,.MSTR241115C24,2024-11-15,24.0,call,0.0,8.98890276463143,0.9999999406276561,285.85,1
3,.MSTR241115P24,2024-11-15,24.0,put,0.0,18.55924618337587,-0.0014559630734525264,0.02,1
4,.MSTR241115C25,2024-11-15,25.0,call,0.0,9.073389670671697,0.9999998850941361,215.0,1
5,.MSTR241115P25,2024-11-15,25.0,put,0.0,18.175423062145295,-0.0014481443806585448,0.04,1
6,.MSTR241115C26,2024-11-15,26.0,call,0.0,9.125699710074903,0.9999998039457562,337.43,1
7,.MSTR241115P26,2024-11-15,26.0,put,0.0,17.805853034703606,-0.0014378162765920077,0.01,1
8,.MSTR241115C27,2024-11-15,27.0,call,0.0,9.149759822112088,0.9999996976604542,336.47,1
9,.MSTR241115P27,2024-11-15,27.0,put,0.0,17.44923010749106,-0.0014250067792033194,0.02,1
10,.MSTR241115C28,2024-11-15,28.0,call,0.0,9.153156194612151,0.9999995663615387,316.35,1
11,.MSTR241115P28,2024-11-15,28.0,put,0.0,17.1043818908119,-0.0014097354732658385,0.01,1
12,.MSTR241115C29,2024-11-15,29.0,call,0.0,9.141632812049622,0.9999994099827993,231.1,1
13,.MSTR241115P29,2024-11-15,29.0,put,0.0,16.770247447787366,-0.0013920140365801803,0.01,1
14,.MSTR241115C30,2024-11-15,30.0,call,0.0,9.119188470531949,0.9999992283468042,298.87,1
15,.MSTR241115P30,2024-11-15,30.0,put,0.0,16.445858556996267,-0.0013718466029251086,0.01,1
16,.MSTR241115C31,2024-11-15,31.0,call,0.0,9.088616999896024,0.9999990212055614,104.65,1
17,.MSTR241115P31,2024-11-15,31.0,put,0.0,16.130323571373243,-0.0013492299764719107,0.08,1
18,.MSTR241115C32,2024-11-15,32.0,call,0.0,9.051910915367362,0.9999987882635841,118.65,1
19,.MSTR241115P32,2024-11-15,32.0,put,0.0,15.822813206724003,-0.001324153705204445,0.0,1
20,.MSTR241115C33,2024-11-15,33.0,call,0.0,9.010523684979505,0.9999985291918918,283.95,1
21,.MSTR241115P33,2024-11-15,33.0,put,0.0,15.522547692447091,-0.0012966000141901857,0.5,1
22,.MSTR241115C34,2024-11-15,34.0,call,0.0,8.965537842826754,0.9999982436369769,299.1,1
23,.MSTR241115P34,2024-11-15,34.0,put,0.0,15.228784773161392,-0.0012665435926784152,0.01,1
24,.MSTR241115C35,2024-11-15,35.0,call,0.0,8.917774468971183,0.9999979312267858,328.34,1
25,.MSTR241115P35,2024-11-15,35.0,put,2.0,14.940808066031835,-0.0012339512213860315,0.02,1
26,.MSTR241115C36,2024-11-15,36.0,call,0.0,8.86786617140921,0.9999975915748068,327.31,1
27,.MSTR241115P36,2024-11-15,36.0,put,0.0,14.657915252240821,-0.0011987812171203593,0.22,1
28,.MSTR241115C37,2024-11-15,37.0,call,0.0,8.81630691560199,0.9999972242829693,306.9,1
29,.MSTR241115P37,2024-11-15,37.0,put,0.0,14.37940550336777,-0.0011609826600773587,0.0,1
30,.MSTR241115C38,2024-11-15,38.0,call,0.0,8.763486840188,0.9999968289437053,195.35,1
